Name of Initiative, Organization Name,Location Name,Location 1,Street Address Line 1,Street Address Line 2,City,State,ZIP Code,Telephone Number,NPI,Category,Unique ID
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Boone Memorial Hospital Inc,Boone Memorial Hospital Inc,"467 Main St Madison, WV 25130 (38.062076, -81.822969)",467 Main St,Ste 3,Madison,WV,25130,(304) 369-1230 x 4673,1639135221,Administrative Location,25
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Boone Memorial Hospital Inc,Boone Memorial Hospital Inc,"701 Madison Ave Madison, WV 25130 (38.048636, -81.806532)",701 Madison Ave,,Madison,WV,25130,(304) 369-1230,1639135221,Administrative Location,26
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Womencare Inc,Womencare Inc,"515 Main St Madison, WV 25130 (38.060912, -81.823027)",515 Main St,,Madison,WV,25130,(304) 369-0393,1194759290,Community Setting,941
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Womencare Inc,Womencare Inc,"12 Kanawha Ter Saint Albans, WV 25177 (38.385868, -81.839586)",12 Kanawha Ter,,Saint Albans,WV,25177,(304) 201-1130,1194759290,Community Setting,939
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Womencare Inc,Womencare Inc,"108 Washington St W Charleston, WV 25302 (38.359928, -81.640672)",108 Washington St W,# 102,Charleston,WV,25302,(304) 345-2229,1194759290,Community Setting,937
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Womencare Inc,Womencare Inc,"116 Hills Plz Charleston, WV 25387 (38.367732, -81.667911)",116 Hills Plz,,Charleston,WV,25387,(304) 720-4466,1194759290,Community Setting,938
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Womencare Inc,Womencare Inc,"97 Great Teays Blvd Scott Depot, WV 25560 (38.451666, -81.93681)",97 Great Teays Blvd,Ste 6,Scott Depot,WV,25560,(304) 757-6999,1194759290,Administrative Location,942
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"University Physicians & Surgeons, Inc",Chertow Diabetes Center,"1249 15th St Huntington, WV 25701 (38.410835, -82.429662)",1249 15th St,,Huntington,WV,25701,(304) 691-1000,1730183286,Administrative Location,728
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Davis Memorial Hospital,Davis Medical Center,"812 Gorman Ave Elkins, WV 26241 (38.928159, -79.853154)",812 Gorman Ave,,Elkins,WV,26241,(304) 636-3300 x 3622,1619964806,Administrative Location,863
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Monongalia County General Hospital Company,Monongalia County General Hospital Company,"1200 J D Anderson Dr Morgantown, WV 26505 (39.66262, -79.94639)",1200 J D Anderson Dr,,Morgantown,WV,26505,(304) 598-1805,1477890440,Administrative Location,362
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Duggins Holdings Llc,Prevo Drug,"363 Sunset Ave Asheboro, NC 27203 (35.705893, -79.818842)",363 Sunset Ave,,Asheboro,NC,27203,(336) 625-4311,1922433374,Administrative Location,146
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1240 Huffman Mill Rd Burlington, NC 27215 (36.063749, -79.502528)",1240 Huffman Mill Rd,,Burlington,NC,27215,(336) 538-8158,1326524901,Administrative Location,672
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1107 S Main St Reidsville, NC 27320 (36.348574, -79.667848)",1107 S Main St,,Reidsville,NC,27320,(336) 832-3236,1326524901,Administrative Location,671
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"301 E Wendover Ave Greensboro, NC 27401 (36.087907, -79.785959)",301 E Wendover Ave,Ste 415,Greensboro,NC,27401,(336) 832-3236,1326524901,Administrative Location,674
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Moses H Cone Memorial Hospital Operating Corporation,The Moses H Cone Memorial Hospital Operating Corporation,"1471 E Cone Blvd Greensboro, NC 27405 (36.113392, -79.765478)",1471 E Cone Blvd,,Greensboro,NC,27405,(336) 832-3236,1326524901,Administrative Location,673
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Monitor My Health, Inc.","Monitor My Health, Inc.","2546 Perthshire Ln Fuquay Varina, NC 27526 (35.626361, -78.814099)",2546 Perthshire Ln,,Fuquay Varina,NC,27526,(203) 683-5946,1760968598,Administrative Location,903
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Pure Proactive Health Inc,Betr Health,"555 Fayetteville St Raleigh, NC 27601 (35.773361, -78.639481)",555 Fayetteville St,Fl 3,Raleigh,NC,27601,(516) 351-9739,1699273508,Administrative Location,605
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Beaufort,Beaufort County Health Dept,"1436 Highland Dr Washington, NC 27889 (35.553576, -77.030543)",1436 Highland Dr,,Washington,NC,27889,(252) 946-1902,1679576763,Administrative Location,89
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Eiccua Llc,Wilsonvalue Drug Store,"404 Nash St East Wilson, NC 27893 (35.722825, -77.908056)",404 Nash St East,,Wilson,NC,27893,(252) 293-4177,1275006355,Administrative Location,154
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Eiccua Llc,Wilsonvalue Drug Store,"910 Tarboro St W Wilson, NC 27893 (35.721587, -77.92866)",910 Tarboro St W,,Wilson,NC,27893,(252) 363-3049,1275006355,Community Setting,155
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Catawba Valley Medical Center,Catawba Valley Medical Center,"810 Fairgrove Church Rd  Hickory NC 28602 (35.711584, -81.270744)",810 Fairgrove Church Rd,,Hickory,NC,28602,(828) 326-2272,1518524818,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,County Of Wilkes,Wilkes County Health Department,"306 College St  Wilkesboro NC 28697 (36.144444, -81.155932)",306 College St,,Wilkesboro,NC,28697,(336) 651-7460,1962565788,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Mh Transylvania Regional Hospital, Lllp",Transylvania Regional Hospital,"260 Hospital Dr Brevard, NC 28712 (35.256437, -82.713054)",260 Hospital Dr,,Brevard,NC,28712,(828) 884-9111,1417432139,Administrative Location,340
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Carolina Diabetes & Kidney Center Llc,Carolina Diabetes & Kidney Center,"625 W Wesmark Blvd Sumter, SC 29150 (33.9514, -80.398529)",625 W Wesmark Blvd,,Sumter,SC,29150,(803) 469-7950,1689128951,Administrative Location,860
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Spartanburg Medical Center,Medical Group Of The Carolinas-Diabetes And Endocrinology-Pelham,"853 N Church St Spartanburg, SC 29303 (34.967034, -81.941205)",853 N Church St,,Spartanburg,SC,29303,(864) 560-6419,1558465005,Administrative Location,629
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Medical University Hospital Authority,Medical University Hospital Authority,"169 Ashley Ave Charleston, SC 29425 (32.7854, -79.946559)",169 Ashley Ave,,Charleston,SC,29425,(843) 792-1414,1972138790,Administrative Location,899
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Hopehealth, Inc.",Hopehealth Inc,"360 N Irby St  Florence SC 29501 (34.202028, -79.767455)",360 N Irby St,,Florence,SC,29501,(843) 667-9414,1801271903,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Prisma Health University Medical Group,Prisma Health University Medical Group,"712 Grove Rd  Greenville SC 29605 (34.820993, -82.414648)",712 Grove Rd,,Greenville,SC,29605,(864) 522-1439,1114542081,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Doctor For Life, Llc",Doctor For Life Llc,"309 Tanner Rd  Greenville SC 29607 (34.81474, -82.272399)",309 Tanner Rd,,Greenville,SC,29607,(864) 640-0009 x 3,1881028892,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Self Regional Healthcare,Self Regional Healthcare,"1325 Spring St Greenwood, SC 29646 (34.175362, -82.157868)",1325 Spring St,,Greenwood,SC,29646,(864) 725-4111,1417582503,Administrative Location,619
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Self Regional Healthcare,Srh Diabetes Education,"1226 Spring St Greenwood, SC 29646 (34.175934, -82.158443)",1226 Spring St,,Greenwood,SC,29646,(864) 725-4853,1417582503,Community Setting,620
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Spartanburg Medical Center,Medical Group Of The Carolinas-Diabetes And Endocrinology-Pelham,"2755 S Highway 14 Greer, SC 29650 (34.862733, -82.221823)",2755 S Highway 14,Ste 2500,Greer,SC,29650,(864) 849-9336,1558465005,Administrative Location,628
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Mackey Family Practice Pa,Mackey Family Practice,"1025 W Meeting St Lancaster, SC 29720 (34.71525, -80.793604)",1025 W Meeting St,Ste 200,Lancaster,SC,29720,(803) 285-7414,1265426167,Administrative Location,321
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Beaufort Jasper Hampton Comprehensive Health Services, Inc.","Beaufort Jasper Hampton Comprehensive Health Services, Inc.","719 Okatie Hwy Okatie, SC 29909 (32.360577, -80.872589)",719 Okatie Hwy,#170,Okatie,SC,29909,(843) 987-7492,1649276148,Administrative Location,19
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Dekalb County Board Of Health,Dekalb County Board Of Health,"445 Winn Way  Decatur GA 30030 (33.786633, -84.278627)",445 Winn Way,,Decatur,GA,30030,(404) 294-3830,1992801021,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Floyd Healthcare Management Inc,Floyd Diabetes Prevention Program,"330 Turner Mccall Blvd Sw Rome, GA 30165 (34.26046, -85.17785)",330 Turner Mccall Blvd Sw,Ste 306,Rome,GA,30165,(706) 509-5184,1154377166,Administrative Location,171
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Candler Hospital Incorporated,Candler Hospital Incorporated,"5356 Reynolds St Savannah, GA 31405 (32.027184, -81.1018)",5356 Reynolds St,Ste 120,Savannah,GA,31405,(912) 819-6146,1275527889,Administrative Location,47
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Barnes Drug Stores Of Valdosta, Inc","Barnes Drug Stores Of Valdosta, Inc","200 S Patterson St Valdosta, GA 31601 (30.829571, -83.27826)",200 S Patterson St,,Valdosta,GA,31601,(229) 245-6001,1023099983,Administrative Location,853
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Florida Department Of Health,Flagler County Health Department,"301 Dr Carter Blvd  Bunnell FL 32110 (29.468955, -81.250134)",301 Dr Carter Blvd,,Bunnell,FL,32110,(386) 437-7350,1285600213,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Florida Department Of Health,Putnam County Health Department,"2801 Kennedy St  Palatka FL 32177 (29.645017, -81.658373)",2801 Kennedy St,,Palatka,FL,32177,(386) 326-3200,1821066028,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,St Vincent'S Ambulatory Care Inc,St Vincent'S Ambulatory Care Inc,"4205 Belfort Rd Ste 1005 Jacksonville FL 32216 (30.253057, -81.581204)",4205 Belfort Rd,Ste 1005,Jacksonville,FL,32216,(904) 450-6450,1417987124,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tallahassee Memorial Healthcare Inc,Tallahassee Memorial Healthcare Inc,"2633 Centennial Blvd Tallahassee, FL 32308 (30.480288, -84.229999)",2633 Centennial Blvd,Ste 100,Tallahassee,FL,32308,(850) 431-5404,1467012393,Administrative Location,651
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Florida Department Of Health,DoH Santa Rosa,"5527 Stewart St Milton, FL 32570 (30.635135, -87.04313)",5527 Stewart St,,Milton,FL,32570,(850) 983-5200,1932177409,Administrative Location,168
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Monitor My Health, Inc.","Monitor My Health, Inc.","618 E South St Orlando, FL 32801 (28.538484, -81.368823)",618 E South St,Ste 500,Orlando,FL,32801,(203) 683-4956,1760968598,Administrative Location,902
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Epic Care Pharmacy Llc,Epic Care Pharmacy Llc,"3948 Pembroke Rd Ste D Pembroke Park FL 33021 (25.99545, -80.18218)",3948 Pembroke Rd,Ste D,Pembroke Park,FL,33021,(954) 963-2113,1952724510,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Guidewell Sanitas I, Llc",Sanitas Medical Center,"8400 Nw 33rd St Ste 201 Doral FL 33122 (25.804323, -80.334179)",8400 Nw 33rd St,Ste 201,Doral,FL,33122,(305) 470-2929,1073106233,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"38035 Meridian Ave Dade City, FL 33525 (28.364649, -82.186478)",38035 Meridian Ave,,Dade City,FL,33525,(352) 521-0484,1710434121,Community Setting,660
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"37301 Chapel Hill Loop Zephyrhills, FL 33542 (28.24734998300005, -82.19917297499995)",37301 Chapel Hill Loop,37301 Chapel Hill Loop,Zephyrhills,FL,33542,(813) 780-9622,1710434121,Community Setting,659
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men's Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"37301 Chapel Hill Loop Zephyrhills, FL 33542 (28.24734998300005, -82.19917297499995)",37301 Chapel Hill Loop,37301 Chapel Hill Loop,Zephyrhills,FL,33542,(813) 780-9622,1710000000,Community Setting,851
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"1507 Ymca Pl Plant City, FL 33563 (27.989089, -82.135681)",1507 Ymca Pl,,Plant City,FL,33563,(813) 839-0210,1710434121,Community Setting,655
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"9840 Balm Riverview Rd Riverview, FL 33569 (27.856624, -82.315659)",9840 Balm Riverview Rd,,Riverview,FL,33569,(813) 677-8400,1710434121,Community Setting,665
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"6901 Simmons Loop Riverview, FL 33578 (27.788697, -82.347289)",6901 Simmons Loop,,Riverview,FL,33578,(813) 302-8000,1710434121,Community Setting,663
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"3097 S Kingsway Rd Seffner, FL 33584 (27.966537, -82.277656)",3097 S Kingsway Rd,,Seffner,FL,33584,(813) 685-5402,1710434121,Community Setting,657
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"3414 Culbreath Rd Valrico, FL 33596 (27.892869, -82.246847)",3414 Culbreath Rd,,Valrico,FL,33596,(813) 684-1371,1710434121,Community Setting,658
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"104 S Franklin St Tampa, FL 33602 (27.94435, -82.456437)",104 S Franklin St,,Tampa,FL,33602,(813) 229-1305,1710434121,Community Setting,652
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"110 E Oak Ave Tampa, FL 33602 (27.961334, -82.459936)",110 E Oak Ave,,Tampa,FL,33602,(813) 224-9622,1710434121,Administrative Location,653
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"110 E Oak Ave Tampa, FL 33602 (27.961334, -82.459936)",110 E Oak Ave,,Tampa,FL,33602,(813) 224-9622,1710434121,Community Setting,654
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"4411 S Himes Ave Tampa, FL 33611 (27.900886, -82.50217)",4411 S Himes Ave,,Tampa,FL,33611,(813) 839-0210,1710434121,Community Setting,662
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"8950 W Waters Ave Tampa, FL 33615 (28.027701, -82.588804)",8950 W Waters Ave,,Tampa,FL,33615,(813) 249-8510,1710434121,Community Setting,664
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Florida Department Of Health,Florida Department Of Health,"4704b W Montgomery Avenue Tampa, FL 33616 (27.877891, -82.521472)",4704b W Montgomery Avenue,,Tampa,FL,33616,(813) 307-8071,1124090832,Administrative Location,170
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"4029 Northdale Blvd Tampa, FL 33624 (28.096234, -82.510233)",4029 Northdale Blvd,,Tampa,FL,33624,(813) 962-3220,1710434121,Community Setting,661
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"9878 W Linebaugh Ave Tampa, FL 33626 (28.044091, -82.596414)",9878 W Linebaugh Ave,,Tampa,FL,33626,(813) 792-7838,1710434121,Community Setting,666
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Tampa Metropolitan Area Young Men'S Christian Association Inc,Tampa Metropolitan Area Young Men'S Christian Association Inc,"16221 Compton Dr Tampa, FL 33647 (28.105866, -82.38563)",16221 Compton Dr,,Tampa,FL,33647,(813) 866-9622,1710434121,Community Setting,656
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"600 1st Ave N St Petersburg, FL 33701 (27.772051, -82.642219)",600 1st Ave N,Ste 201,St Petersburg,FL,33701,(727) 895-9622,1669929089,Administrative Location,813
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"1200 7th Ave N St Petersburg, FL 33705 (27.779343, -82.651224)",1200 7th Ave N,,St Petersburg,FL,33705,(727) 394-9622 x 214,1669929089,Community Setting,810
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"691 43rd St S St Petersburg, FL 33711 (27.762988, -82.69161)",691 43rd St S,,St Petersburg,FL,33711,(727) 209-9622,1669929089,Community Setting,814
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"3200 1st Ave S St Petersburg, FL 33712 (27.770136, -82.677155)",3200 1st Ave S,,St Petersburg,FL,33712,(727) 328-9622,1669929089,Community Setting,811
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"5175 45th St N St Petersburg, FL 33714 (27.81837, -82.69393)",5175 45th St N,,St Petersburg,FL,33714,(727) 209-1311,1669929089,Community Setting,812
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"900 Carillon Pkwy St Petersburg, FL 33716 (27.891869, -82.667273)",900 Carillon Pkwy,,St Petersburg,FL,33716,(727) 561-2342,1669929089,Community Setting,816
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","1005 S Highland Ave Clearwater, FL 33756 (27.954831, -82.775194)",1005 S Highland Ave,,Clearwater,FL,33756,(727) 461-9622,1194272518,Community Setting,838
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","300 Pinellas St Clearwater, FL 33756 (27.951912, -82.803874)",300 Pinellas St,,Clearwater,FL,33756,(727) 462-7000,1194272518,Community Setting,843
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","5345 Laurel Pl Clearwater, FL 33760 (27.909108, -82.706693)",5345 Laurel Pl,,Clearwater,FL,33760,(727) 507-9622,1194272518,Community Setting,846
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","2469 Enterprise Rd Clearwater, FL 33763 (28.010622, -82.736847)",2469 Enterprise Rd,,Clearwater,FL,33763,(727) 772-9622,1194272518,Administrative Location,842
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Young Men'S Christian Association Of Greater St.Petersburg Inc,Young Men'S Christian Association Of Greater St.Petersburg Inc,"8495 Bryan Dairy Rd Largo, FL 33777 (27.872316, -82.756357)",8495 Bryan Dairy Rd,,Largo,FL,33777,(727) 394-9622,1669929089,Community Setting,815
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","1801 119th St Largo, FL 33778 (27.900999, -82.803626)",1801 119th St,,Largo,FL,33778,(727) 559-0500,1194272518,Community Setting,841
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeland Regional Health Systems Inc,Lakeland Regional Health Systems,"130 Pablo St Lakeland, FL 33803 (28.012698, -81.957848)",130 Pablo St,,Lakeland,FL,33803,(863) 284-3950,1497748743,Administrative Location,311
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lakeland Regional Health Systems Inc,Lakeland Regional Health Systems Inc,"3030 Harden Blvd  Lakeland FL 33803 (28.010606, -81.974106)",3030 Harden Blvd,,Lakeland,FL,33803,(863) 284-1604,1497748743,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lee Memorial Health System,Lee Health Solutions,"9981 S Healthpark Dr  Fort Myers FL 33908 (26.507377, -81.913104)",9981 S Healthpark Dr,,Fort Myers,FL,33908,(239) 424-3120,1902379209,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lee Memorial Health System,Lee Health Solutions,"501 Del Prado Blvd S  Cape Coral FL 33990 (26.643223, -81.940579)",501 Del Prado Blvd S,,Cape Coral,FL,33990,(239) 424-3120,1902379209,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Lee Memorial Health System,Lee Health Solutions,"23450 Via Coconut Pt  Estero FL 34135 (26.395873, -81.80729)",23450 Via Coconut Pt,,Estero,FL,34135,(239) 424-3120,1902379209,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","4127 W Norvell Bryant Hwy Lecanto, FL 34461 (28.892597, -82.502193)",4127 W Norvell Bryant Hwy,,Lecanto,FL,34461,(352) 500-9622,1194272518,Community Setting,844
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Dynamic Therapy & Wellness Services,Inc.","Dynamic Therapy & Wellness Services,Inc.","13795 Sw 36th Avenue Rd Ocala, FL 34473 (29.020853, -82.18355)",13795 Sw 36th Avenue Rd,Ste 1,Ocala,FL,34473,(352) 533-2371,1366536864,Administrative Location,148
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","1300 Mariner Blvd Spring Hill, FL 34609 (28.454283, -82.539244)",1300 Mariner Blvd,,Spring Hill,FL,34609,(352) 688-9622,1194272518,Community Setting,839
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","6600 Madison St New Port Richey, FL 34652 (28.253933, -82.715478)",6600 Madison St,,New Port Richey,FL,34652,(727) 842-8468,1194272518,Community Setting,848
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","8411 Photonics Dr Trinity, FL 34655 (28.191846, -82.676885)",8411 Photonics Dr,,Trinity,FL,34655,(727) 375-9622,1194272518,Community Setting,849
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","1600 16th St Palm Harbor, FL 34683 (28.083402, -82.757859)",1600 16th St,,Palm Harbor,FL,34683,(727) 787-9622,1194272518,Community Setting,840
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","4550 Village Center Dr Palm Harbor, FL 34685 (28.101884, -82.698956)",4550 Village Center Dr,,Palm Harbor,FL,34685,(727) 772-9622,1194272518,Community Setting,845
Medicare Diabetes Prevention Program (MDPP) Expanded Model,"Young Men's Christian Association Of The Suncoast, Inc.","Young Men's Christian Association Of The Suncoast, Inc.","601 Main St Dunedin, FL 34698 (28.014032, -82.783822)",601 Main St,,Dunedin,FL,34698,(727) 733-1111,1194272518,Community Setting,847
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Bibb County Healthcare Authority,The Bibb County Healthcare Authority,"208 Pierson Ave  Centreville AL 35042 (32.951363, -87.1469)",208 Pierson Ave,,Centreville,AL,35042,(205) 926-3277,1568558146,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Hubbard Pharmacy,Hubbard Pharmacy,"1351 W Fort Williams St  Sylacauga AL 35150 (33.16568, -86.271154)",1351 W Fort Williams St,,Sylacauga,AL,35150,(256) 245-7708,1912239195,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,St Vincents Ambulatory Healthcare Network Llc,Ascension St Vincent'S 119 Wellness,"7191 Cahaba Valley Rd Ste 107 Hoover AL 35242 (33.426878, -86.666566)",7191 Cahaba Valley Rd,Ste 107,Hoover,AL,35242,(205) 408-6600,1982121513,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Whatley Health Services Inc,"Whatley Health Services, Inc.","2731 Martin Luther King Blvd  Tuscaloosa AL 35401 (33.187102, -87.576881)",2731 Martin Luther King Blvd,,Tuscaloosa,AL,35401,(205) 349-3250,1043822075,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,The Health Care Authority Of The City Of Huntsville,Huntsville Hospital,"101 Sivley Rd Sw  Huntsville AL 35801 (34.720723, -86.580458)",101 Sivley Rd Sw,,Huntsville,AL,35801,(256) 265-3178,1447221056,,
Medicare Diabetes Prevention Program (MDPP) Expanded Model,Montgomery Area Community Wellness Coalition,Montgomery Area Community Wellness Coalition,"3060 Mobile Hwy Montgomery, AL 36108 (32.348971, -86.338388)",3060 Mobile Hwy,,Montgomery,AL,36108,(334) 293-6502,8536168,Administrative Location,908
