"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT","SUBGROUP - GENERAL","SUBGROUP - ACUTE CARE","SUBGROUP - ALCOHOL DRUG","SUBGROUP - CHILDRENS","SUBGROUP - LONG-TERM","SUBGROUP - PSYCHIATRIC","SUBGROUP - REHABILITATION","SUBGROUP - SHORT-TERM","SUBGROUP - SWING-BED APPROVED","SUBGROUP - PSYCHIATRIC UNIT","SUBGROUP - REHABILITATION UNIT","SUBGROUP - SPECIALTY HOSPITAL","SUBGROUP - OTHER","SUBGROUP - OTHER TEXT","REH CONVERSION FLAG","REH CONVERSION DATE","CAH OR HOSPITAL CCN"
O20040804000858,LA,00-09,PART A PROVIDER - HOSPITAL,1932204427,N,190266,0749251577,NMC OPERATING COMPANY LLC,THE SPINE HOSPITAL OF LOUISIANA,12/04/2002,LA,LLC,,P,10105 PARK ROWE CIR,,BATON ROUGE,LA,708101688,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,,N,,
O20040805000056,MI,00-09,PART A PROVIDER - HOSPITAL,1508883299,N,234035,5496650723,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,WALTER P REUTHER PSYCHIATRIC HOSPITAL,,,OTHER,STATE PSYCHIATRIC HOSPITAL,N,30901 PALMER RD,,WESTLAND,MI,481869529,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040805000072,MI,00-09,PART A PROVIDER - HOSPITAL,1194767996,N,234025,5496650723,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,CARO CENTER,06/14/1914,MI,OTHER,GOVERNMENT,N,2000 CHAMBERS RD,,CARO,MI,487239293,HOSPITAL PSYCHIATRIC UNIT,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040805000118,MI,00-09,PART A PROVIDER - HOSPITAL,1194736587,N,234026,5496650723,STATE OF MICHIGAN OFFICE OF FINANCIAL MANAGEMENT,KALAMAZOO PSYCHIATRIC HOSPITAL,,,OTHER,GOVERNMENT,N,1312 OAKLAND DR,,KALAMAZOO,MI,480091205,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040805001059,TX,00-09,PART A PROVIDER - HOSPITAL,1811916901,N,450399,0042281545,TERRY MEMORIAL HOSPITAL DISTRICT,BROWNFIELD REGIONAL MEDICAL CENTER,,,OTHER,GOVERNMENTAL ENTITY,N,705 E FELT ST,BROWNFIELD REGIONAL MEDICAL CENTER,BROWNFIELD,TX,793163439,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040806000287,CT,00-09,PART A PROVIDER - HOSPITAL,1477534089,N,072004,7810985637,HOSPITAL FOR SPECIAL CARE,,06/24/1941,CT,CORPORATION,,N,2150 CORBIN AVE,,NEW BRITAIN,CT,060532266,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20040806000449,PR,00-09,PART A PROVIDER - HOSPITAL,1104856889,N,400111,3072599117,HOSPITAL SAN CARLOS INCORPORADO,HOSPITAL SAN CARLOS BORROMEO,12/29/1965,PR,CORPORATION,,N,CALLE CONCEPCION VERA AYALA # 550 S,HOSPITAL SAN CARLOS BORROMEO,MOCA,PR,006760001,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040806001154,UT,00-09,PART A PROVIDER - HOSPITAL,1447296249,N,460030,5698747046,ASHLEY VALLEY MEDICAL CENTER LLC,ASHLEY REGIONAL MEDICAL CENTER,11/09/1998,DE,LLC,,P,150 W 100 N,,VERNAL,UT,840782036,OTHER HOSPITAL PRACTICE LOCATION,ACUTE HOSPITAL,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040806001187,CA,00-09,PART A PROVIDER - HOSPITAL,1205863255,N,050248,2466345632,COUNTY OF MONTEREY,NATIVIDAD MEDICAL CENTER,,,CORPORATION,,N,1441 CONSTITUTION BLVD,,SALINAS,CA,939063100,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,,
O20040807000284,CA,00-09,PART A PROVIDER - HOSPITAL,1467442749,N,053305,9436121720,LUCILE SALTER PACKARD CHILDREN'S HOSPITAL AT STANFORD,LUCILE PACKARD CHILDREN'S HOSPITAL STANFORD,01/20/1983,CA,CORPORATION,,N,725 WELCH RD,,PALO ALTO,CA,943041601,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,,
O20040809000068,PR,00-09,PART A PROVIDER - HOSPITAL,1972531218,N,400087,6406828706,DR SUSONI HEALTH COMMUNITY SERVICES CORP,HOSPITAL PAVIA ARECIBO,04/28/1995,PR,CORPORATION,,P,"CARR 129 KM 1.0, AVE. SAN LUIS",,ARECIBO,PR,006130659,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040809000739,TX,00-09,PART A PROVIDER - HOSPITAL,1508810573,N,450788,0446145569,"BAY AREA HEALTHCARE GROUP, LTD.",CORPUS CHRISTI MEDICAL CENTER,07/15/1991,TX,PARTNERSHIP,,P,7101 S PADRE ISLAND DR,CORPUS CHRISTI MEDICAL CTR BAY AREA,CORPUS CHRISTI,TX,784124913,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040810000227,MD,00-09,PART A PROVIDER - HOSPITAL,1053309120,N,210061,2365437837,ATLANTIC GENERAL HOSPITAL CORPORATION,ATLANTIC GENERAL HOSPITAL,04/12/1989,MD,CORPORATION,,N,9733 HEALTHWAY DR,,BERLIN,MD,218111155,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040811000014,CO,00-09,PART A PROVIDER - HOSPITAL,1396790200,N,060034,0143139857,"HCA-HEALTHONE, LLC",SWEDISH MEDICAL CENTER,09/05/2000,CO,LLC,,P,501 E HAMPDEN AVE,,ENGLEWOOD,CO,801132702,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040811000250,MA,00-09,PART A PROVIDER - HOSPITAL,1508867391,N,220016,9638151731,BAYSTATE FRANKLIN MEDICAL CENTER,BAYSTATE FRANKLIN MEDICAL CENTER,04/02/1895,MA,CORPORATION,,N,164 HIGH ST,,GREENFIELD,MA,013012613,OTHER HOSPITAL PRACTICE LOCATION,ACUTE CARE HOSPITAL,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040812001170,VT,00-09,PART A PROVIDER - HOSPITAL,1306849708,N,470011,9335112929,BRATTLEBORO MEMORIAL HOSPITAL,,10/26/1904,VT,CORPORATION,,N,17 BELMONT AVE,,BRATTLEBORO,VT,053017601,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040812001357,CA,00-09,PART A PROVIDER - HOSPITAL,1003867565,N,050352,1850293960,BARTON HEALTHCARE SYSTEM,BARTON MEMORIAL HOSPITAL,05/31/1960,CA,CORPORATION,,N,2170 SOUTH AVE,,S LAKE TAHOE,CA,961507026,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040813000250,NY,00-09,PART A PROVIDER - HOSPITAL,1346380870,Y,330233,4284545799,BROOKDALE HOSPITAL MEDICAL CENTER,,12/31/1914,NY,CORPORATION,,N,1 BROOKDALE PLZ,,BROOKLYN,NY,112123198,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,,N,,
O20040813000626,IA,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1235214420,N,16Z334,8921997867,HUMBOLDT COUNTY MEMORIAL HOSPITAL,HUMBOLDT COUNTY MEMORIAL HOSPITAL,,,OTHER,COUNTY HOSPITAL,N,1000 15TH ST N,,HUMBOLDT,IA,505481008,HOSPITAL SWING-BED UNIT,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040814000029,TN,00-09,PART A PROVIDER - HOSPITAL,1841388519,N,440020,7911970322,HILLSIDE HOSPITAL LLC,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI,11/12/1998,DE,LLC,,P,1265E COLLEGE ST,,PULASKI,TN,384784541,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,,
O20040814000037,TN,00-09,PART A PROVIDER - HOSPITAL,1114003175,N,440175,7810960226,CROCKETT HOSPITAL LLC,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCEBURG,11/09/1998,DE,LLC,,P,1607 S LOCUST AVE,,LAWRENCEBURG,TN,384644011,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,,
O20040814000057,TN,00-09,PART A PROVIDER - HOSPITAL,1669567319,N,440068,2163495573,ATHENS REGIONAL MEDICAL CENTER LLC,STARR REGIONAL MEDICAL CENTER,08/24/2001,DE,LLC,,P,1114W MADISON AVE,,ATHENS,TN,373034150,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040814000170,TN,00-09,PART A PROVIDER - HOSPITAL,1114033628,N,440184,6002726718,MOUNTAIN STATES HEALTH ALLIANCE,FRANKLIN WOODS COMMUNITY HOSPITAL,04/12/1945,TN,CORPORATION,,N,300 MED TECH PARKWAY,,JOHNSON CITY,TN,376042277,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040816000537,OH,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1831137827,N,361322,3971404187,BLANCHARD VALLEY REGIONAL HEALTH CENTER,BLUFFTON HOSPITAL,07/06/1982,OH,CORPORATION,,N,139 GARAU ST,,BLUFFTON,OH,458171027,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040816001109,NC,00-09,PART A PROVIDER - HOSPITAL,1346291309,N,340183,1153231907,THE PRESBYTERIAN HOSPITAL,PRESBYTERIAN HOSPITAL HUNTERSVILLE,02/24/1903,NC,CORPORATION,,N,10030 GILEAD RD,,HUNTERSVILLE,NC,280787545,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040818000466,NM,00-09,PART A PROVIDER - HOSPITAL,1215913470,N,320021,9234041708,PRESBYTERIAN HEALTHCARE SERVICES,PRESBYTERIAN HOSPITAL,10/24/1908,NM,OTHER,NOT FOR PROFIT (501C3),N,1100 CENTRAL SE,PRESBYTERIAN HOSPITAL,ALBUQUERQUE,NM,871064930,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040818000534,MN,00-09,PART A PROVIDER - HOSPITAL,1356321699,N,240040,8022920024,RANGE REGIONAL HEALTH SERVICES,UNIVERSITY MEDICAL CENTER/ MESABA CLINICS,12/07/1976,MN,CORPORATION,,N,750 EAST 34TH STREET,,HIBBING,MN,557462341,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040818000713,TX,00-09,PART A PROVIDER - HOSPITAL,1629053509,N,320022,9234041708,PRESBYTERIAN HEALTHCARE SERVICES,PLAINS REGIONAL MEDICAL CENTER CLOVIS,01/16/2004,NM,OTHER,NOT FOR PROFIT,N,2100 MARTIN LUTHER KING JR BLVD,PLAINS REGIONAL MEDICAL CENTER CLOVIS,CLOVIS,NM,881010001,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040819000099,MI,00-09,PART A PROVIDER - HOSPITAL,1952307852,N,230097,3072426287,MUNSON MEDICAL CENTER,MUNSON MEDICAL CENTER,12/10/1947,MI,OTHER,NON PROFIT ORGANIZATION,N,1400 MEDICAL CAMPUS DR,,TRAVERSE CITY,MI,496847823,OTHER HOSPITAL PRACTICE LOCATION,FAMILY PRACTICE CLINIC,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040819000931,NY,00-09,PART A PROVIDER - HOSPITAL,1861552549,N,33T211,8426966508,CLAXTON-HEPBURN MEDICAL CENTER,CLAXTON-HEPBURN MEDICAL CENTER ACUTE REHAB,01/25/1917,NY,CORPORATION,,N,214 KING ST,,OGDENSBURG,NY,136691142,HOSPITAL REHABILITATION UNIT,,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,RENAL CENTER,N,,
O20040820000595,OK,00-09,PART A PROVIDER - HOSPITAL,1720053556,N,370183,9638143282,AHS HENRYETTA HOSPITAL LLC,HILLCREST HOSPITAL HENRYETTA,04/20/2004,DE,LLC,,P,2401 W MAIN ST,,HENRYETTA,OK,744373893,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040820000852,OK,00-09,PART A PROVIDER - HOSPITAL,1801867643,N,370099,7315911898,AHS CUSHING HOSPITAL LLC,HILLCREST HOSPITAL CUSHING,04/20/2004,DE,LLC,,N,1027 E CHERRY ST,,CUSHING,OK,740234101,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040821000218,NV,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1801957667,N,291301,0446161335,TAHOE FOREST HOSPITAL DISTRICT,INCLINE VILLAGE COMMUNITY HOSPITAL,,,OTHER,DISTRCIT HOSPITAL,N,880 ALDER AVE,,INCLINE VILLAGE,NV,894518335,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040823000769,GA,00-09,PART A PROVIDER - HOSPITAL,1508810565,N,110168,0244216570,REDMOND PARK HOSPITAL LLC,ADVENTHEALTH REDMOND,07/01/2004,GA,LLC,,N,501 REDMOND RD NW,,ROME,GA,301651415,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040823001363,TX,00-09,PART A PROVIDER - HOSPITAL,1316936990,N,450024,2365431509,EL PASO COUNTY HOSPITAL DISTRICT,UNIVERSITY MEDICAL CENTER OF EL PASO,,,OTHER,HOSPITAL DISTRICT,N,4815 ALAMEDA AVE,,EL PASO,TX,799052705,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,Y,OFF SITE DEPARTMENT,N,,
O20040827000168,NY,00-09,PART A PROVIDER - HOSPITAL,1871678458,N,330218,4981686045,OSWEGO HOSPITAL,,01/01/1881,NY,CORPORATION,,N,110 W 6TH ST,,OSWEGO,NY,131262507,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,N,,
O20040830000395,IN,00-09,PART A PROVIDER - HOSPITAL,1508979683,N,150160,8628043007,"INDIANA ORTHOPAEDIC HOSPITAL, LLC",ORTHOINDY HOSPITAL,10/18/2002,IN,LLC,,P,8400 NORTHWEST BLVD,,INDIANAPOLIS,IN,462781381,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,Y,SURGICAL SPECIALTY ORTHOPAEDIC,N,,
O20040831000112,IN,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1699779017,Y,151322,6901871276,PERRY COUNTY MEMORIAL HOSPITAL,PERRY COUNTY MEMORIAL HOSPITAL,,,OTHER,COUNTY-NON PROFIT,N,8885 STATE ROAD 237,,TELL CITY,IN,475868567,OPT EXTENSION SITE,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040831000247,CO,00-09,PART A PROVIDER - HOSPITAL,1508842964,Y,060117,0143295428,ANIMAS SURGICAL HOSPITAL LLC,ANIMAS SURGICAL HOSPITAL,10/24/2006,DE,LLC,,P,575 RIVERGATE LANE,,DURANGO,CO,813017487,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,,
O20040901000304,NJ,00-09,PART A PROVIDER - HOSPITAL,1689714255,N,310010,4587562111,"PRINCETON HEALTHCARE SYSTEM, A NEW JERSEY NONPROFIT CORPORATION",PENN MEDICINE PRINCETON MEDICAL CENTER,09/26/1919,NJ,CORPORATION,,N,1-5 PLAINSBORO RD,,PLAINSBORO,NJ,085361913,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,,N,,
O20040901000618,PA,00-09,PART A PROVIDER - HOSPITAL,1275620585,Y,390270,5092780023,GEISINGER WYOMING VALLEY MEDICAL CENTER,,02/02/1976,PA,CORPORATION,,N,1000 EAST MOUNTAIN DRIVE,GWV OP SURGERY,WILKES BARRE,PA,187110027,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040902000362,ME,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1154370153,N,201310,8123919099,BRIDGTON HOSPITAL,,05/15/1917,ME,CORPORATION,,N,10 HOSPITAL DR,,BRIDGTON,ME,040091148,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040902001011,SD,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1790721280,Y,431336,6800707100,SANFORD HEALTH NETWORK,SANFORD VERMILLION HOSPITAL,08/15/1985,SD,CORPORATION,,N,20 S PLUM ST,,VERMILLION,SD,570693346,,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040903000221,NM,00-09,PART A PROVIDER - HOSPITAL,1447221742,N,320006,1850204207,ROSWELL HOSPITAL CORPORATION,EASTERN NEW MEXICO MEDICAL CENTER,02/10/1998,NM,CORPORATION,,P,405 W COUNTRY CLUB RD,,ROSWELL,NM,882015209,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040903000689,TX,00-09,PART A PROVIDER - HOSPITAL,1629064928,Y,450888,2264408996,SOUTHLAKE SPECIALTY HOSPITAL LLC,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,11/09/2007,TX,LLC,,P,1545 E SOUTHLAKE BLVD,"ATTN: TRACI BERNARD, PRESIDENT",SOUTHLAKE,TX,760926422,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,,N,,
O20040903001169,AZ,00-09,PART A PROVIDER - HOSPITAL,1902897820,N,030012,6608777024,YAVAPAI COMMUNITY HOSPITAL ASSOCIATION,YAVAPAI REGIONAL MEDICAL CENTER,04/13/1942,AZ,OTHER,NON-PROFIT CORPORATION,N,1003 WILLOW CREEK ROAD,,PRESCOTT,AZ,863011641,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040907000767,OH,00-09,PART A PROVIDER - HOSPITAL,1629011234,N,360270,8921074436,MERCY HEALTH - DEFIANCE HOSPITAL LLC,MERCY HEALTH - DEFIANCE HOSPITAL,07/21/2003,OH,LLC,,N,1404 E 2ND ST,,DEFIANCE,OH,435122440,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040908001492,ID,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1619988144,N,131327,8729070164,GRITMAN MEDICAL CENTER INC,GRITMAN MEDICAL CENTER,07/05/1991,ID,CORPORATION,,N,700 S MAIN ST,,MOSCOW,ID,838433056,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040909000551,PR,00-09,PART A PROVIDER - HOSPITAL,1104862044,N,400117,5597731653,HOSPITAL DR. SUSONI. INC.,HOSPITAL METROPOLITANO DR SUSONI,08/21/1945,PR,CORPORATION,,P,STREET PALMA #55,,ARECIBO,PR,006124526,MAIN/PRIMARY HOSPITAL LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040913000154,CT,00-09,PART A PROVIDER - HOSPITAL,1730137753,N,072003,1153224191,"GAYLORD HOSPITAL, INC.",GAYLORD HOSPITAL,01/01/1902,CT,CORPORATION,,N,50 GAYLORD FARM RD,,WALLINGFORD,CT,064922828,MAIN/PRIMARY HOSPITAL LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20040913000650,PA,00-85,PART A PROVIDER - CRITICAL ACCESS HOSPITAL,1659472447,N,391307,4183619885,TYRONE HOSPITAL,PENN HIGHLANDS TYRONE,08/19/1946,PA,CORPORATION,,N,187 HOSPITAL DRIVE,,TYRONE,PA,166861810,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040914000646,TX,00-09,PART A PROVIDER - HOSPITAL,1649273434,N,450890,2163499633,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO,06/12/2002,TX,CORPORATION,,N,4700 ALLIANCE BLVD,,PLANO,TX,750935323,OTHER HOSPITAL PRACTICE LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040914000818,SC,00-09,PART A PROVIDER - HOSPITAL,1962472431,N,420101,3375510878,COASTAL CAROLINA MEDICAL CENTER INC,COASTAL CAROLINA HOSPITAL,07/02/2001,SC,CORPORATION,,P,1000 MEDICAL CENTER DRIVE,,HARDEEVILLE,SC,299273446,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,,N,,
O20040914000826,NE,00-09,PART A PROVIDER - HOSPITAL,1972532372,N,28T009,6002719093,GOOD SAMARITAN HOSPITAL,CHI HEALTH GOOD SAMARITAN,12/20/1963,NE,CORPORATION,,N,10 E 31ST ST,,KEARNEY,NE,688472926,HOSPITAL REHABILITATION UNIT,,N,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,,
O20040914001072,AZ,00-09,PART A PROVIDER - HOSPITAL,1275566200,N,030115,9537136064,BANNER ESTRELLA MEDICAL CENTER,BANNER ESTRELLA MEDICAL CENTER,,,OTHER,OWNED AND OPERATED BY A NONPROFIT 501(C)(3) CORPORATION,N,9201 W THOMAS RD,,PHOENIX,AZ,850373332,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040915000492,TX,00-09,PART A PROVIDER - HOSPITAL,1093744187,N,450346,9335123033,BAPTIST HOSPITALS OF SOUTHEAST TEXAS,BAPTIST BEAUMONT HOSPITAL,11/24/1945,TX,CORPORATION,,N,3080 COLLEGE ST,,BEAUMONT,TX,777014606,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040916000602,MD,00-09,PART A PROVIDER - HOSPITAL,1669431219,Y,210037,8022906783,SHORE HEALTH SYSTEM INC,,01/28/1992,MD,CORPORATION,,N,219 S WASHINGTON ST,,EASTON,MD,216012913,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,,
O20040917000922,UT,00-09,PART A PROVIDER - HOSPITAL,1831108497,N,460015,1850209420,IHC HEALTH SERVICES INC,LOGAN REGIONAL HOSPITAL,04/01/1975,UT,CORPORATION,,N,1400 N 500 E,,LOGAN,UT,843412455,OTHER HOSPITAL PRACTICE LOCATION,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040918000206,CA,00-09,PART A PROVIDER - HOSPITAL,1215927470,N,050103,4486622362,WHITE MEMORIAL MEDICAL CENTER,ADVENTIST HEALTH WHITE MEMORIAL,12/09/1963,CA,CORPORATION,,N,1720 E CESAR E CHAVEZ AVE,,LOS ANGELES,CA,900332414,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,N,,
O20040921000248,LA,00-09,PART A PROVIDER - HOSPITAL,1003898313,N,190116,4284528274,MOREHOUSE GENERAL HOSPITAL,MOREHOUSE GENERAL HOSPITAL,06/24/1930,LA,OTHER,POLITICAL SUBDIVISION/HOSP SERVICE DISTRICT,N,323 W WALNUT AVE,,BASTROP,LA,712204521,MAIN/PRIMARY HOSPITAL LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040922000189,FL,00-09,PART A PROVIDER - HOSPITAL,1679678486,N,100118,1759371594,MEMORIAL HOSPITAL FLAGLER INC,ADVENTHEALTH PALM COAST,05/31/1989,FL,CORPORATION,,N,60 MEMORIAL MEDICAL PKWY,,PALM COAST,FL,321645980,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040922000923,LA,00-09,PART A PROVIDER - HOSPITAL,1851619241,N,193058,8123096641,"BASTROP REHABILITATION HOSPITAL, LLC",RIVERBEND REHABILITATION HOSPITAL,09/20/1999,LA,LLC,,P,4310 S GRAND ST,,MONROE,LA,712026322,OTHER HOSPITAL PRACTICE LOCATION,,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,,
O20040923000483,CO,00-09,PART A PROVIDER - HOSPITAL,1104881507,Y,060020,0143116673,PARKVIEW MEDICAL CENTER INC,PARKVIEW PUEBLO WEST,07/26/1983,CO,CORPORATION,,N,400 W 16TH ST,PARKVIEW MEDICAL CENTER INC,PUEBLO,CO,810032745,OTHER HOSPITAL PRACTICE LOCATION,GENERAL ACUTE CARE,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040927000433,CA,00-09,PART A PROVIDER - HOSPITAL,1245221050,N,050701,3779552898,UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS INC,SOUTHWEST HEALTHCARE,10/20/2000,CA,CORPORATION,,P,25500 MEDICAL CENTER DRIVE,RANCHO SPRINGS HOSPITAL,MURRIETA,CA,925625965,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040927000547,TX,00-09,PART A PROVIDER - HOSPITAL,1770573586,N,450119,7214906361,MCALLEN HOSPITALS L P,SOUTH TEXAS HEALTH SYSTEM,02/01/2001,DE,PARTNERSHIP,,P,1102 W TRENTON RD,,EDINBURG,TX,785399105,MAIN/PRIMARY HOSPITAL LOCATION,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
O20040927001051,TX,00-09,PART A PROVIDER - HOSPITAL,1467442418,N,450209,0941106363,NORTHWEST TEXAS HEALTHCARE SYSTEM INC,NORTHWEST TEXAS HEALTHCARE SYSTEM,01/11/1983,TX,CORPORATION,,P,1501S COULTER ST,,AMARILLO,TX,791061770,OTHER HOSPITAL PRACTICE LOCATION,,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,,
